article_id,title,journal,abstract_present,topics,methods,data_sources,uncertainty,best_profile,best_overall,evidence,my_judgement_相关吗,my_notes
49163,Toward a Configural Theory of Job Demands and Resources,Academy of Management Journal,True,job demands-resources; configural theory; employee outcomes,variable-centered approach; configural approach,,True,employee_wellbeing,75.9,"Job demands-resources research has largely adopted a variable-centered approach to test main and interactive effects of demands and resources on employee outcomes. | However, this approach cannot det...",,
7100,Exploring the role of cognitive job demands in job demands‐resources theory,Journal of Occupational and Organizational Psychology,True,cognitive job demands; job demands-resources theory; conceptual paper,conceptual paper,,False,employee_wellbeing,55.6,Cognitive job demands in the JD‐R theory are surprisingly underexplored. | we lack a comprehensive understanding of how cognitive job demands affect employee well‐being and do not have a widely accepted definition of these demands.,,
70866,Untangling human resource management and employee wellbeing relationships: Differentiating job resource HR practices fro,Human Resource Management Journal,True,HR practices and employee wellbeing; job resource HR practices; challenge demand HR practices,survey; structural equation modeling,"National Workplace Survey of Employees, Ireland",False,employee_wellbeing,83.6,job resource HR practices are positively associated with all three dimensions of wellbeing both directly and indirectly | challenge demand HR practices are positively associated with psychological wellbeing but negatively associated with physical wellbeing and social wellbeing primarily through the ,,
106727,Text Preprocessing for Text Mining in Organizational Research: Review and Recommendations,Organizational Research Methods,True,text preprocessing; text mining; natural language processing,text mining; computational linguistics; review,,False,digital_trace_methods,78.5,"decisions made during text preprocessing affect whether the content and/or style of language are captured, the statistical power of subsequent analyses, and the validity of insights derived from text mining | we conduct two complementary reviews of computational linguistics and organizational text m",,
19918,Strategic Human Resource Management in the Era of Algorithmic Technologies: Key Insights and Future Research Agenda,Human Resource Management,True,algorithmic technologies in HRM; AI in HRM; technology-work relations,review,,False,ai_in_organizations,66.1,"how algorithmic technologies are reshaping three key areas: (1) work structures and design, (2) HR delivery activities, and (3) the management of technology workers | Using a threefold conceptualization of technology—the tool view, proxy view, and ensemble view",,
70895,Smarter people analytics with organizational text data: Demonstrations using classic and advanced NLP models,Human Resource Management Journal,True,people analytics; text mining; NLP in HRM,text mining; NLP; Bag-of-Words; Doc2Vec,textual comments; situational interview questions,False,digital_trace_methods,78.5,Demonstration One illustrates how simple and straightforward Bag‐of‐Word models applied on textual comments can be used to predict numerical ratings of companies | Demonstration Two shows how personality (self‐reported scores on the Big Five) can be predicted from situational interview questions thr,,
19957,Best of Both Worlds: The Benefits of Hybrid Work Compared With Remote and In‐Person Roles,Human Resource Management,True,hybrid work; remote work; return-to-office mandates; quiet quitting,survey,survey,False,wfh_rto,90.4,Results generally indicated more favorable outcomes for employees in a hybrid modality compared with in-person or remote roles.,,
7113,From foundations to frontiers: A 25‐year bibliometric journey of job demands–resources theory,Journal of Occupational and Organizational Psychology,True,bibliometric review; job demands-resources theory; thematic evolution,bibliometric analysis; co-citation analysis; co-occurrence analysis; bibliographic coupling,"bibliometric database (e.g., Web of Science, Scopus)",False,employee_wellbeing,62.4,mapping the intellectual structure and thematic evolution of JD‐R research | how JD‐R theory has integrated diverse theoretical perspectives and shaped the broader discourse on work‐related outcomes across contexts and levels of analysis,,
8760,Managing with Artificial Intelligence: An Integrative Framework,Academy of Management Annals,True,human-AI collaboration; algorithmic management; managing with AI,literature review,,False,ai_in_organizations,64.3,Managing with artificial intelligence (AI) refers to humans’ interaction with algorithms performing managerial tasks in organizations. | Two literatures exploring this interaction—human-AI collaboration (HAIC) and algorithmic management (AM)—have focused on distinct managerial tasks: while HAIC exam,,
70998,Two sides of the same coin: Appraising job‐related attributes as resilience enhancing or undermining,Human Resource Management Journal,True,employee resilience; job demands and resources; coal mining; stress management,qualitative interviews,interview,False,employee_wellbeing,83.1,"we find that crucial elements of human resource management processes, supervision and the employee work unit may be modelled as either demands or resources | we find that the individual's subjective appraisal of job‐related demands and resources plays a significant role in enhancing or undermining t",,
75304,The physical office work environment and employee wellbeing: Current state of research and future research agenda,International Journal of Management Reviews,True,physical office work environment; employee wellbeing; workplace design,narrative review,,False,employee_wellbeing,77.3,"knowledge about how the physical office work environment (POWE) shapes employee wellbeing remains fragmented, inconsistent and scattered across disciplines | we propose an updated taxonomy of POWE features, incorporating a new dimension – exposure to nature",,
58167,Job Demands–Resources Theory: Ten Years Later,Annual Review of Organizational Psychology and Organizational Behavior,True,burnout; work engagement; job demands-resources theory,review,,False,employee_wellbeing,85.6,"Burnout refers to a work-related state of exhaustion and a sense of cynicism. In contrast, work engagement is a positive motivational state of vigor, dedication, and absorption. | We discuss four major innovations of the past decade, namely ( a) the person × situation approach of JD-R, ( b) multilev",,
