article_id,my_judgement_相关吗,my_notes
49163,✓相关,JD-R理论核心文献；理论匹配强
70866,✓相关,HR实践与员工多维wellbeing；主题和方法都匹配
106727,✓相关,组织研究文本挖掘方法综述；方法匹配强
19918,✓相关,算法技术重塑HRM与工作；AI组织研究核心
70895,✓相关,组织文本和people analytics；数据与方法高度匹配
19957,✓相关,hybrid/remote/in-person直接比较；WFH-RTO核心
8760,✓相关,人机协作与algorithmic management整合框架
20178,✓相关,远程工作偏好错配与离散选择实验；主题方法均匹配
39651,✓相关,AI/ML与people at work；主题和计算方法匹配
19852,✓相关,AI招聘与组织不平等；AI-HR重要场景
70456,✓相关,JD-R与burnout多层模型；理论方法匹配
9049,✓相关,算法绩效管理与员工信任；algorithmic management核心
5707,✓相关,虚拟工作中的demands/resources转变；WFH与JD-R交叉
96637,✓相关,AI采用中的human-in-the-loop工作配置；组织场景清晰
20911,✓相关,AI如何重塑data/knowledge/values work
21824,✓相关,HPWS-JD-R-burnout；理论与HR场景匹配
133256,✓相关,组织话语argument mining；数字踪迹方法高度匹配
49618,✓相关,AI自动化-增强悖论；理论构建价值高
5051,✓相关,NLP用于创新研究；方法迁移价值高
12906,✓相关,电子监控与工作场所监视；研究主题核心
58188,✓相关,remote work综述；WFH-RTO核心
70684,✓相关,职场人机共存与AI sensemaking；组织场景匹配
3388,✓相关,组织研究文本相似度方法综述；直接支持搜索与文本研究
9087,✓相关,远程工作的战略边界控制理论；主题理论匹配
30753,△边界,员工wellbeing相关但SES/健康不一定属于当前核心项目
70685,△边界,job crafting与wellbeing相关；主题较宽但可作理论邻域
36614,△边界,员工wellbeing和日记研究有方法价值；与核心AI/WFH较远
2480,△边界,job embeddedness/wellbeing/turnover相关；可作结果变量邻域
76956,△边界,job demands相关但power场景偏外围
40099,△边界,AI与运营框架相关；是否保留取决于是否扩展到OM
97776,△边界,高维稀有特征与文本挖掘有方法价值；没有组织场景
10636,△边界,手机位置数据+DID有数字踪迹方法价值；研究场景不匹配
132941,△边界,在线评论与评分实验有数字踪迹价值；更偏服务运营
91879,△边界,社交平台数据和信号理论可借鉴；主题并非员工/组织
87405,△边界,搜索量与文本分析方法可借鉴；金融场景不匹配
12065,✗不相关,人物讣告；模型应稳定排除
42505,✗不相关,货币政策与资产泡沫；无研究兴趣匹配
106404,✗不相关,组织尊严但为难民营场景；与当前画像距离较远
91589,✗不相关,国家政策执行与地理距离；非当前研究问题
24771,✗不相关,建筑工人外骨骼与生物力学；仅泛化员工wellbeing
80417,✗不相关,施工规划与信息论；方法词造成的伪匹配
69930,✗不相关,养老院入住前后wellbeing；非employee wellbeing
3060,✗不相关,旅游消费者采用ChatGPT；不是AI在组织/员工场景
24714,✗不相关,工地计算机视觉安全；AI技术但非组织行为研究
